trial_id,trial_dir,method,scenario,lighting,group_type,gesture_label,trigger_family,trial_index,round_index,valid_capture,missed,n_frames,segmentation_purity_percent,predicted_label,inference_correct,recognition_efficiency
20260508.175126.500414,metric_tests\proposed_auto\normal\20260508.175126.500414,proposed_auto,normal,normal,lighting,SwipeU,wrist_trigger,5,5,True,False,28,96.29629629629629,SwipeU,1,100.0
20260508.175129.922226,metric_tests\proposed_auto\normal\20260508.175129.922226,proposed_auto,normal,normal,lighting,SwipeD,wrist_trigger,6,1,True,False,26,92.0,SwipeD,1,100.0
20260508.175132.818918,metric_tests\proposed_auto\normal\20260508.175132.818918,proposed_auto,normal,normal,lighting,SwipeD,wrist_trigger,7,2,True,False,29,82.14285714285714,SwipeD,1,100.0
20260508.175135.490363,metric_tests\proposed_auto\normal\20260508.175135.490363,proposed_auto,normal,normal,lighting,SwipeD,wrist_trigger,8,3,True,False,28,92.5925925925926,SwipeD,1,100.0
20260508.175138.978899,metric_tests\proposed_auto\normal\20260508.175138.978899,proposed_auto,normal,normal,lighting,SwipeD,wrist_trigger,9,4,True,False,31,96.66666666666667,SwipeD,1,96.7741935483871
20260508.175142.242767,metric_tests\proposed_auto\normal\20260508.175142.242767,proposed_auto,normal,normal,lighting,SwipeD,wrist_trigger,10,5,True,False,33,90.625,SwipeD,1,90.9090909090909
20260508.175145.139522,metric_tests\proposed_auto\normal\20260508.175145.139522,proposed_auto,normal,normal,lighting,swipeL,wrist_trigger,11,1,True,False,29,89.28571428571429,swipeL,1,100.0
20260508.175147.730915,metric_tests\proposed_auto\normal\20260508.175147.730915,proposed_auto,normal,normal,lighting,swipeL,wrist_trigger,12,2,True,False,31,80.0,swipeL,1,96.7741935483871
20260508.175150.594446,metric_tests\proposed_auto\normal\20260508.175150.594446,proposed_auto,normal,normal,lighting,swipeL,wrist_trigger,13,3,True,False,27,96.15384615384616,swipeL,1,100.0
20260508.175153.523631,metric_tests\proposed_auto\normal\20260508.175153.523631,proposed_auto,normal,normal,lighting,swipeL,wrist_trigger,14,4,True,False,31,60.0,swipeL,1,96.7741935483871
20260508.175156.626612,metric_tests\proposed_auto\normal\20260508.175156.626612,proposed_auto,normal,normal,lighting,swipeL,wrist_trigger,15,5,True,False,31,43.333333333333336,swipeL,1,96.7741935483871
20260508.175158.626681,metric_tests\proposed_auto\normal\20260508.175158.626681,proposed_auto,normal,normal,lighting,swipeR,wrist_trigger,16,1,True,False,14,53.84615384615385,SwipeD,0,0.0
20260508.175203.314786,metric_tests\proposed_auto\normal\20260508.175203.314786,proposed_auto,normal,normal,lighting,swipeR,wrist_trigger,17,2,True,False,28,92.5925925925926,swipeL,0,0.0
20260508.175206.835381,metric_tests\proposed_auto\normal\20260508.175206.835381,proposed_auto,normal,normal,lighting,swipeR,wrist_trigger,18,3,True,False,47,26.08695652173913,swipeR,1,63.829787234042556
